Coefficient of current liquidity;Quick liquidity ratio;Absolute liquidity ratio;Receivables  turnover ratio;Turnover ratio of funds;Ratio of own and borrowed funds;Ratio of own working capital;Coefficient of autonomy;Degree of solvency in current liabilities;Return on net assets by net profit;Profitability;Profitability of sales;Failure
1,061512359;0,804856778;0,005170519;10,41828131;7,24339998;14,36197253;0,05794785;0,065095807;1,651413348;0,296037602;0,509886301;0,026188911;0
1,007731653;1,006418635;0;1,423481051;1,340291385;120,6135222;0,007671915;0,00822277;10,43699365;0,37652911;0,476168722;0,058356375;1
1,435987519;1,154493599;0,903498947;6,548621686;1,083060495;0,610954563;0,289091647;0,620749972;9,18597249;0,045944075;0,06135562;0,075531261;0
0,988048596;0,323270232;0,007289459;2,103390453;0,725127963;-137,5194421;-0,012095967;-0,007324964;17,24461978;-0,73956708;12,91291214;0,011296054;0
0,752796508;0,740052299;0,132302472;3,281653994;2,762310697;470,0141844;-0,902541813;0,002123078;8,999868713;0,707801418;0,902836879;0,043007023;1
1,388069249;0,870310285;0,269827914;6,032721845;2,922432624;0,536054747;-0,199908659;0,651018463;3,26940562;0,02751823;0,038585206;-0,175459082;0
2,196048181;0,115788684;0,009696895;6,7522472;1,458132468;0,61270319;0,544636585;0,620076903;4,365198635;0,445257137;0,572021247;0,38674393;1
1,044204815;0,834394933;0,352720361;5,183657008;2,5621771;7,488934128;0,042333472;0,117800302;4,201718972;1,335245223;1,675085739;0,080627873;0
1,984263147;1,771543387;1,286473522;14,14502278;1,907251042;0,97117175;0,495992498;0,5073133;1,771725053;2,392679889;2,998099094;0,449123343;0
1,004790094;0,273365337;0,038178234;0,97952504;0,269026139;47,41455782;0,004766782;0,020654944;52,93089307;0,574018285;0,61122449;0,058365398;0
0,877563872;0,542855827;0,13796528;2,734317594;1,335210412;-9,843918982;-0,185518095;-0,113072044;11,67844283;1,11372276;1,228556052;0,011441696;1
2,361448729;1,390717886;0,047669591;2,647914758;1,318819009;0,643493331;0,57653114;0,608460029;4,940624064;0,498117467;0,620933086;0,351293431;0
1,92620876;1,878342215;1,00413755;3,226517756;1,486725751;0,774764551;0,480845472;0,563455023;4,825633742;0,345720698;0,439181073;0,223520894;0
0,254483774;0,229183585;0,053502899;1,088083937;0,722892501;13,37020083;-2,931444235;0,069588454;83,62661208;0,448392394;0,506435567;0,102822993;0
1,14018;0,856026497;0,30266599;14,42085972;7,063460826;6,794389482;0,1229455;0,128297412;1,560706129;0,86868654;1,08892541;0,022392974;0
